Discipline,Discipline_Level1,Discipline_Level2,DisciplineNumber,DisciplineLevel,ParentDiscipline,ParentDisciplineNumber
"Sociology, social work, political sciences, media and communication studies, health",Humanities and Social Sciences,"Sociology, social work, political sciences, media and communication studies, health",10600,2,Humanities and Social Sciences,10000.0
"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100,2,Humanities and Social Sciences,10000.0
"Psychology, educational studies",Humanities and Social Sciences,"Psychology, educational studies",10500,2,Humanities and Social Sciences,10000.0
"Ethnology, social and human geography",Humanities and Social Sciences,"Ethnology, social and human geography",10400,2,Humanities and Social Sciences,10000.0
"Economics, law",Humanities and Social Sciences,"Economics, law",10700,2,Humanities and Social Sciences,10000.0
"Art studies, musicology, theatre and film studies, architecture",Humanities and Social Sciences,"Art studies, musicology, theatre and film studies, architecture",10300,2,Humanities and Social Sciences,10000.0
Molecular Biology,Biology and Medicine,Basic Biological Research,30102,3,Basic Biological Research,30100.0
Inorganic Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20303,3,Chemistry,20300.0
Botany,Biology and Medicine,General Biology,30201,3,General Biology,30200.0
"Immunology, Immunopathology",Biology and Medicine,Experimental Medicine,30403,3,Experimental Medicine,30400.0
Fluid Dynamics,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20503,3,Engineering Sciences,20500.0
Organic Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20304,3,Chemistry,20300.0
Information Technology,"Mathematics, Natural- and Engineering Sciences",Engineering Sciences,20506,3,Engineering Sciences,20500.0
Mathematics,"Mathematics, Natural- and Engineering Sciences",Mathematics,20100,2,"Mathematics, Natural- and Engineering Sciences",20000.0
Sociology,Humanities and Social Sciences,"Sociology, social work, political sciences, media and communication studies, health",10201,3,"Sociology, social work, political sciences, media and communication studies, health",10600.0
General history (without pre-and early history),Humanities and Social Sciences,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10301,3,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",10100.0
Biochemistry,Biology and Medicine,Basic Biological Research,30101,3,Basic Biological Research,30100.0
Psychology,Humanities and Social Sciences,"Psychology, educational studies",10105,3,"Psychology, educational studies",10500.0
Physical Chemistry,"Mathematics, Natural- and Engineering Sciences",Chemistry,20301,3,Chemistry,20300.0
